,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
106,@CBS,Thu May 21 18:56:56 +0000 2020,CBS leads the #DaytimeEmmyAward nominations with 70. Don’t miss the 47th ANNUAL DAYTIME EMMY® AWARDS when it return… https://t.co/Vn1r7YbPHN,0.4824,0.16,0.771,0.069,7
107,@CBS,Thu May 21 18:02:17 +0000 2020,"@MrJerryOC @CBSAllAccess @RebeccaRomijn @PKSubban1 @lindseyvonn @KellyOsbourne We believe in you, Jerry. Also we re… https://t.co/9rWEtYLe39",0.0,0.0,1.0,0.0,8
108,@CBS,Thu May 21 17:56:58 +0000 2020,RT @MrJerryOC: HAIRCUT NIGHT IN AMERICA 10/29 @CBS @CBSAllAccess Really hope I don't burn @RebeccaRomijn hair off. @PKSubban1 @lindseyvonn…,0.4927,0.151,0.849,0.0,9
109,@CBS,Thu May 21 17:06:50 +0000 2020,".@MrJerryOC &amp; @RebeccaRomijn host HAIRCUT NIGHT IN AMERICA, featuring America’s top hair stylists in an at-home DIY… https://t.co/QqLsEFwaZh",0.2023,0.096,0.904,0.0,10
110,@CBS,Thu May 21 00:03:38 +0000 2020,✋ https://t.co/SAa4W8JuVS,0.4939,0.615,0.385,0.0,11
111,@CBS,Wed May 20 23:55:32 +0000 2020,RT @NorahODonnell: A note about broadcasting in the era of COVID-19 https://t.co/oiYGv40JfS,0.0,0.0,1.0,0.0,12
112,@CBS,Wed May 20 23:28:57 +0000 2020,"We have a TV manifest posted for your weekend viewing pleasure. Join us for Titanic on #CBSMovieNight, which sets s… https://t.co/DYyqXFhgg5",0.7096,0.237,0.763,0.0,13
113,@CBS,Wed May 20 21:54:45 +0000 2020,"RT @CBSAllAccess: The Stand is coming. Get your first look at @WhoopiGoldberg as Mother Abigail, Alexander Skarsgård as Randall Flagg, and…",0.0,0.0,1.0,0.0,14
114,@CBS,Wed May 20 21:18:09 +0000 2020,RT @swatcbs: It's all good. Stream #SWAT tonight at 10/9c on @CBS and @CBSAllAccess: https://t.co/ANyt4qWHHf https://t.co/kVC92p7CjT,0.4404,0.162,0.838,0.0,15
115,@CBS,Wed May 20 20:38:30 +0000 2020,RT @BandB_CBS: The next two years just got even more #BoldandBeautiful! 💙 B&amp;B has officially been renewed for two more seasons. Learn more…,0.0,0.0,1.0,0.0,16
116,@CBS,Wed May 20 20:22:21 +0000 2020,Watching Titanic on #CBSMovieNight with your own Jack or Rose from afar this weekend? Feel like KING OF THE WORLD w… https://t.co/lodYy2MQUs,0.3612,0.106,0.894,0.0,17
117,@CBS,Wed May 20 18:55:21 +0000 2020,"RT @THR: After streaming online the past four years, the Daytime Emmys will air on CBS this June https://t.co/fyPW7WutcC",0.0,0.0,1.0,0.0,18
118,@CBS,Wed May 20 18:54:34 +0000 2020,"RT @Variety: CBS to Air Daytime Emmys, Which Returns to TV for the First Time in Five Years https://t.co/OyMqqvHCG5",0.0,0.0,1.0,0.0,19
119,@CBS,Wed May 20 18:53:17 +0000 2020,RT @TVLine: 2020 #DaytimeEmmys to Air on CBS in June; Winners and Guests Will Appear Remotely https://t.co/WViG7EI7t7,0.4767,0.162,0.838,0.0,20
120,@CBS,Wed May 20 18:53:08 +0000 2020,RT @DEADLINE: Daytime Emmys To Air Live Virtual Ceremony On CBS In June; Nominations Coming Thursday https://t.co/Wz1GdJhdhI https://t.co/r…,0.0,0.0,1.0,0.0,21
121,@CBS,Wed May 20 18:52:42 +0000 2020,RT @EW: CBS is bringing back the Daytime Emmys to broadcast TV https://t.co/r30Ziw6Tvn,0.0,0.0,1.0,0.0,22
122,@CBS,Wed May 20 18:30:35 +0000 2020,"Big announcement on @TheTalkCBS today: The 47th ANNUAL DAYTIME EMMY® AWARDS will return to CBS Friday, June 26 at 8… https://t.co/gPmy1Gi0Rb",0.5766,0.151,0.849,0.0,23
123,@CBS,Wed May 20 17:03:13 +0000 2020,Celebrate #AsianPacificAmericanHeritageMonth with @NCISLA's @DanielaRuah and CBS. https://t.co/Wu5JFKLcWN,0.5719,0.346,0.654,0.0,24
124,@CBS,Wed May 20 13:35:21 +0000 2020,"RT @CBSThisMorning: One year ago today, @GayleKing, @AnthonyMasonCBS and @TonyDokoupil started anchoring together on @CBSThisMorning!  

@V…",0.0,0.0,1.0,0.0,25
125,@CBS,Wed May 20 13:32:38 +0000 2020,RT @TheUnicornCBS: Anybody catch @Jeopardy tonight? 👀 https://t.co/SsiHX1n2J0,-0.4767,0.0,0.693,0.307,26
126,@CBS,Tue May 19 23:32:03 +0000 2020,Let us help you make plans for later this year with the  2020-2021 CBS Primetime Schedule. https://t.co/hvQ3WEaevR https://t.co/4LqNExzIiX,0.4019,0.137,0.863,0.0,27
127,@CBS,Tue May 19 23:21:22 +0000 2020,RT @IAMQUEENLATIFAH: I am so excited to be joining the @cbs family as The Equalizer! Coming to your screens Sundays at 8pm this Fall! #TheE…,0.5719,0.134,0.866,0.0,28
